image,label
images/BRATS_103.nii.gz,labels/BRATS_103.nii.gz
images/BRATS_107.nii.gz,labels/BRATS_107.nii.gz
images/BRATS_101.nii.gz,labels/BRATS_101.nii.gz
images/BRATS_214.nii.gz,labels/BRATS_214.nii.gz
images/BRATS_230.nii.gz,labels/BRATS_230.nii.gz
images/BRATS_147.nii.gz,labels/BRATS_147.nii.gz
images/BRATS_109.nii.gz,labels/BRATS_109.nii.gz
images/BRATS_216.nii.gz,labels/BRATS_216.nii.gz
images/BRATS_237.nii.gz,labels/BRATS_237.nii.gz
images/BRATS_233.nii.gz,labels/BRATS_233.nii.gz
images/BRATS_215.nii.gz,labels/BRATS_215.nii.gz
images/BRATS_232.nii.gz,labels/BRATS_232.nii.gz
images/BRATS_102.nii.gz,labels/BRATS_102.nii.gz
images/BRATS_149.nii.gz,labels/BRATS_149.nii.gz
images/BRATS_210.nii.gz,labels/BRATS_210.nii.gz
images/BRATS_212.nii.gz,labels/BRATS_212.nii.gz
images/BRATS_239.nii.gz,labels/BRATS_239.nii.gz
images/BRATS_144.nii.gz,labels/BRATS_144.nii.gz
images/BRATS_108.nii.gz,labels/BRATS_108.nii.gz
images/BRATS_234.nii.gz,labels/BRATS_234.nii.gz
images/BRATS_235.nii.gz,labels/BRATS_235.nii.gz
images/BRATS_105.nii.gz,labels/BRATS_105.nii.gz
images/BRATS_140.nii.gz,labels/BRATS_140.nii.gz
images/BRATS_110.nii.gz,labels/BRATS_110.nii.gz
images/BRATS_142.nii.gz,labels/BRATS_142.nii.gz
images/BRATS_231.nii.gz,labels/BRATS_231.nii.gz
images/BRATS_145.nii.gz,labels/BRATS_145.nii.gz
images/BRATS_238.nii.gz,labels/BRATS_238.nii.gz
images/BRATS_143.nii.gz,labels/BRATS_143.nii.gz
images/BRATS_148.nii.gz,labels/BRATS_148.nii.gz
images/BRATS_218.nii.gz,labels/BRATS_218.nii.gz
images/BRATS_217.nii.gz,labels/BRATS_217.nii.gz
images/BRATS_106.nii.gz,labels/BRATS_106.nii.gz
images/BRATS_104.nii.gz,labels/BRATS_104.nii.gz
images/BRATS_213.nii.gz,labels/BRATS_213.nii.gz
images/BRATS_219.nii.gz,labels/BRATS_219.nii.gz
images/BRATS_236.nii.gz,labels/BRATS_236.nii.gz
images/BRATS_146.nii.gz,labels/BRATS_146.nii.gz
images/BRATS_100.nii.gz,labels/BRATS_100.nii.gz
images/BRATS_141.nii.gz,labels/BRATS_141.nii.gz
images/BRATS_211.nii.gz,labels/BRATS_211.nii.gz
